Standard Brig-Sloop Specifications:
Attribute,Value
Displacement (tons),250
Length (ft),100
Beam (ft),28
Draft (ft),10
Crew Capacity,80
Cargo Capacity (tons),100
Speed (knots),14
Armament,"14 cannons (9-pounders), 4 swivel guns"

Notes:
Notes
"Brig-sloops are fast, maneuverable vessels used for scouting, escorting, and quick strikes."
"They balance speed with moderate firepower, making them ideal for exploration and evasion."
Smaller crew requirements compared to frigates make them easier to maintain on long voyages.
